x,y,z
-6.63,0.94,0.61
-7.09,1.09,1.77
-8.18,0.99,2.8
-9.78,1.2,3.8
-11.77,1.27,4.1
-14.13,1.4,3.27
-15.62,1.37,2.25
-16.64,1.12,0.5
-16.73,0.73,-1.8
-16.29,0.32,-4.17
-15.41,0.0,-5.65
-14.12,-0.24,-6.59
-13.08,0.02,-6.91
-13.08,0.28,-6.89
-13.77,0.43,-6.78
-14.36,-1.05,-6.89
-13.79,-3.27,-6.76
-13.33,-3.96,-6.83
-12.91,-5.06,-7.42
-11.92,-6.22,-7.23
-10.39,-7.21,-6.94
-8.2,-7.14,-6.57
-6.15,-5.34,-6.04
-5.66,-2.22,-5.87
-6.1,-0.39,-5.71
-6.0,-0.39,-5.41
-5.81,-0.91,-5.48
-5.43,-1.98,-5.43
-5.26,-4.88,-5.31
-7.05,-7.42,-5.21
-9.69,-8.56,-5.03
-12.01,-8.65,-5.05
-14.15,-7.57,-5.27
-14.94,-5.47,-6.66
-14.38,-3.87,-7.58
-13.2,-2.78,-8.11
-12.17,-2.37,-8.21
-11.92,-1.94,-8.38
-11.71,-1.76,-8.2
-12.26,-1.62,-8.31
-12.49,-2.15,-8.23
-11.9,-2.35,-8.37
-10.51,-2.8,-8.27
-8.08,-4.15,-7.52
-7.91,-5.34,-7.01
-8.27,-6.5,-6.65
-8.88,-7.44,-6.38
-10.18,-8.28,-5.87
-11.16,-8.56,-5.4
-12.03,-8.73,-5.05
-12.47,-8.78,-5.06
-12.47,-8.84,-4.93
-12.32,-8.78,-4.92
-11.9,-8.67,-5.38
-10.79,-8.37,-5.54
-9.63,-7.77,-6.52
-8.46,-6.24,-7.19
-8.35,-4.0,-7.75
-9.13,-2.93,-8.15
-9.74,-2.33,-8.21
-10.98,-1.68,-8.47
-11.96,-1.27,-8.31
-13.16,-1.77,-8.38
-13.75,-2.3,-8.52
-14.48,-2.71,-8.01
-15.15,-3.08,-7.68
-15.22,-3.64,-7.14
-15.39,-4.05,-6.87
-15.53,-4.11,-6.77
-15.7,-4.37,-6.39
-15.74,-4.61,-6.12
-15.72,-5.06,-5.71
-16.04,-5.42,-4.98
-16.06,-5.79,-4.22
-15.76,-6.28,-4.16
-15.15,-7.08,-4.03
-14.12,-7.79,-4.34
-12.61,-8.32,-4.73
-10.81,-8.35,-5.29
-8.41,-7.74,-5.31
-6.74,-6.39,-5.89
-6.17,-4.95,-6.16
-6.1,-4.2,-6.45
-6.25,-3.68,-6.55
-5.98,-3.03,-6.1
-5.37,-2.33,-4.98
-5.14,-1.62,-3.64
-5.26,-0.54,-2.2
-5.73,0.09,-1.39
-5.79,0.49,-1.53
-5.58,-0.22,-1.65
-5.47,-0.28,-1.58
-5.64,-0.24,-0.89
-5.81,-0.24,0.14
-6.31,-0.32,1.65
-7.57,-0.37,2.99
-8.77,-0.34,3.79
-10.14,-0.02,4.14
-11.79,0.51,4.14
-13.43,1.2,3.36
-15.09,1.87,2.02
-15.83,1.96,0.06
-16.56,1.74,-1.93
-16.33,1.16,-3.65
-15.68,0.56,-5.33
-14.86,-0.02,-6.52
-13.89,-0.45,-7.45
-12.91,-0.63,-7.76
-11.98,-0.58,-7.94
-11.77,-0.3,-7.71
-11.14,0.02,-7.52
-10.95,0.45,-7.16
-11.25,1.01,-7.04
-11.52,1.33,-6.46
-12.13,1.4,-6.93
-12.7,0.97,-6.98
-13.68,0.32,-7.16
-14.04,-0.47,-7.26
-14.52,-1.03,-7.28
-14.73,-1.59,-7.08
-14.88,-2.48,-7.08
-14.82,-3.16,-6.98
-14.52,-3.76,-7.34
-14.15,-4.37,-7.41
-13.47,-5.1,-7.67
-12.59,-5.72,-7.68
-11.98,-6.2,-7.89
-11.31,-6.45,-7.84
-10.26,-6.61,-7.67
-8.88,-6.56,-7.34
-8.02,-6.54,-7.07
-7.47,-6.48,-6.71
-6.76,-6.2,-5.69
-5.71,-5.61,-4.96
-5.06,-4.84,-3.85
-4.78,-3.87,-2.72
-4.59,-3.21,-1.45
-4.63,-2.32,-0.32
-5.14,-1.48,0.73
-5.48,-0.67,0.88
-5.9,0.28,0.77
-6.27,0.8,0.33
-6.13,1.07,-0.88
-6.34,1.05,-1.9
-6.13,0.84,-2.26
-6.17,0.75,-2.09
-6.15,0.73,-1.64
-6.46,0.9,-0.55
-6.57,0.6,1.28
-7.36,0.41,2.44
-8.35,0.56,3.28
-9.93,1.18,3.76
-11.29,1.63,3.85
-12.63,2.13,3.4
-13.94,2.49,2.71
-14.94,2.58,1.03
-15.66,2.34,-0.74
-15.76,2.04,-2.84
-15.51,1.25,-4.68
-14.84,0.71,-5.85
-14.04,0.06,-6.92
-13.39,-0.24,-7.28
-13.29,-0.22,-7.02
-13.75,0.02,-6.71
-14.75,-0.63,-6.54
-15.85,-1.14,-5.82
-16.31,-2.97,-5.57
-15.81,-4.6,-5.4
-15.03,-5.72,-5.76
-13.52,-7.01,-6.35
-11.58,-7.59,-6.88
-8.94,-7.04,-6.93
-7.01,-5.94,-6.56
-5.92,-5.04,-5.76
-5.01,-4.43,-4.46
-4.7,-3.94,-3.1
-4.61,-2.84,-1.68
-4.89,-1.59,-0.96
-5.48,-0.35,-0.78
-6.0,0.45,-0.93
-6.5,0.86,-1.27
-6.53,1.12,-1.27
-6.55,1.12,-0.94
-6.69,1.03,-0.13
-6.76,0.67,1.16
-7.05,0.39,2.01
-7.7,0.0,2.87
-8.86,-0.11,4.03
-10.64,-0.05,4.63
-12.53,-0.22,4.7
-14.48,0.19,4.01
-16.14,0.41,2.51
-17.17,0.34,0.48
-17.48,0.17,-2.04
-16.77,-0.32,-4.6
-15.72,-0.65,-6.16
-14.96,-0.99,-6.93
-13.68,-1.33,-7.6
-12.7,-1.74,-8.07
-12.05,-2.09,-8.33
-11.0,-2.09,-8.1
-10.54,-2.35,-8.1
-9.76,-2.9,-8.08
-8.73,-4.15,-7.7
-8.23,-6.05,-7.01
-8.85,-7.74,-6.12
-9.9,-8.52,-5.39
-10.81,-9.04,-4.64
-11.82,-9.29,-3.85
-12.66,-9.29,-3.41
-12.59,-9.31,-2.82
-12.34,-9.27,-2.89
-11.75,-9.21,-3.23
-10.53,-9.14,-4.01
-9.02,-8.58,-5.03
-7.79,-7.27,-5.96
-7.53,-5.42,-6.79
-8.6,-3.92,-7.47
-10.39,-4.39,-7.68
-10.58,-5.23,-7.65
-10.47,-6.93,-6.9
-10.39,-8.52,-5.1
-10.98,-9.27,-1.93
-11.33,-7.92,2.13
-11.9,-6.95,3.34
-13.75,-7.38,1.98
-15.09,-7.7,-1.33
-14.94,-7.23,-4.99
-13.07,-6.2,-7.2
-11.69,-6.11,-7.82
-12.19,-6.46,-7.27
-14.94,-7.38,-4.69
-13.96,-7.87,0.64
-11.52,-7.64,2.37
-13.01,-7.98,1.33
-15.05,-7.9,-2.19
-14.27,-6.39,-6.68
-10.53,-5.53,-7.9
-10.22,-6.37,-7.44
-13.31,-6.99,-6.66
-15.59,-7.31,-3.1
-14.33,-7.38,1.33
-13.24,-7.44,2.14
-13.91,-7.53,1.25
-14.54,-7.79,0.38
-14.71,-8.07,-1.48
-14.12,-8.05,-3.85
-12.55,-7.64,-6.12
-10.3,-6.67,-6.89
-8.92,-6.26,-6.91
-9.09,-6.2,-7.24
-11.35,-6.11,-7.42
-13.35,-5.49,-7.53
-13.91,-4.5,-7.76
-13.58,-4.43,-7.9
-13.08,-5.32,-8.1
-12.89,-6.13,-7.53
-13.03,-6.45,-7.29
-13.12,-6.5,-7.3
-12.82,-6.0,-7.55
-12.4,-5.29,-8.24
-11.8,-4.28,-8.54
-11.82,-3.01,-8.5
-12.32,-2.41,-8.27
-13.29,-2.97,-8.13
-12.7,-5.42,-7.38
-10.58,-7.42,-6.4
-7.95,-8.43,-3.79
-6.53,-7.72,-1.58
-6.86,-7.77,-0.45
-9.25,-8.74,-0.17
-12.64,-8.91,-0.83
-14.99,-7.53,-2.55
-16.29,-6.13,-3.17
-16.9,-5.19,-3.66
-16.56,-3.64,-5.95
-14.78,-3.34,-7.46
-13.18,-4.61,-7.99
-12.51,-5.31,-8.09
-12.49,-5.06,-8.28
-12.01,-4.48,-8.46
-12.07,-3.89,-8.67
-13.41,-4.02,-7.96
-13.05,-6.24,-7.15
-11.9,-8.03,-5.91
-11.84,-8.71,-4.8
-13.24,-8.43,-4.64
-15.45,-7.44,-4.02
-16.56,-6.5,-3.37
-16.27,-6.78,-3.18
-14.4,-8.48,-3.57
-11.65,-9.25,-3.59
-10.12,-9.25,-3.88
-10.24,-9.29,-3.79
-13.01,-8.97,-3.59
-16.71,-6.43,-3.09
-17.38,-5.14,-3.18
-17.25,-5.03,-2.84
-17.38,-5.4,-2.05
-17.0,-5.32,0.45
-16.31,-4.41,2.75
-16.08,-2.86,3.53
-14.71,-1.12,4.53
-12.89,-0.19,4.95
-11.58,0.06,4.82
-10.83,0.3,4.69
-11.37,0.8,4.52
-13.07,1.4,4.25
-15.36,1.05,3.33
-15.39,0.92,3.67
-15.64,0.62,3.69
-14.59,0.95,3.96
-12.91,0.99,4.47
-11.21,0.23,4.8
-9.86,0.09,4.34
-10.03,0.13,4.52
-10.51,0.19,4.47
-11.38,0.77,4.44
-12.4,1.33,4.23
-12.64,1.76,4.28
-12.47,1.48,4.31
-12.19,1.27,4.46
-12.51,0.6,4.82
-12.7,-0.26,5.14
-13.08,-1.76,5.39
-13.24,-3.38,5.04
-13.35,-5.14,4.64
-13.52,-6.73,3.42
-12.76,-8.18,1.7
-12.42,-9.17,-0.34
-12.22,-9.44,-2.23
-12.32,-8.99,-4.66
-11.61,-8.32,-5.8
-11.58,-7.46,-7.22
-11.61,-6.48,-7.84
-11.63,-5.38,-8.31
-11.58,-4.17,-8.76
-11.67,-2.65,-8.65
-12.24,-0.52,-8.21
-13.01,1.18,-6.9
-13.14,2.09,-6.02
-12.99,3.07,-4.63
-12.89,3.76,-2.96
-12.78,3.94,-2.28
-13.31,3.89,-2.31
-13.68,3.55,-2.59
-14.67,2.77,-3.61
-15.13,1.35,-5.62
-14.06,-0.26,-7.27
-12.68,-1.72,-8.45
-11.31,-3.66,-8.76
-10.3,-5.36,-8.46
-10.37,-7.32,-7.19
-10.51,-8.93,-4.97
-10.56,-9.47,-2.65
-10.79,-9.32,-0.44
-10.85,-8.35,1.63
-10.75,-7.08,3.69
-10.75,-5.77,4.38
-10.75,-4.32,5.09
-10.6,-2.37,5.56
-10.75,0.02,5.13
-11.1,1.74,4.2
-10.85,2.86,2.93
-10.81,3.63,1.81
-10.81,4.21,-0.41
-10.98,4.21,-2.55
-11.65,3.59,-4.63
-12.47,2.51,-5.79
-13.54,0.86,-7.15
-14.12,-0.41,-7.65
-14.52,-0.17,-7.51
-14.19,1.14,-6.66
-14.12,2.41,-5.4
-14.12,3.46,-4.05
-14.34,3.81,-2.57
-14.86,3.61,-1.39
-15.7,3.12,-0.4
-16.64,2.08,0.43
-17.44,0.86,0.76
-17.88,-0.8,0.96
-18.09,-2.93,0.74
-17.93,-4.61,-0.59
-17.3,-5.81,-1.38
-16.67,-6.8,-2.38
-15.97,-7.36,-3.66
-15.13,-7.62,-4.97
-14.75,-7.25,-5.8
-14.27,-6.8,-6.69
-14.17,-6.37,-6.99
-14.27,-5.83,-7.46
-13.77,-5.38,-7.89
-13.68,-4.45,-8.42
-13.16,-3.64,-8.63
-13.2,-2.54,-8.44
-13.43,-0.52,-7.65
-13.81,0.99,-6.5
-14.48,1.23,-5.89
-15.24,0.32,-6.0
-15.18,-2.11,-7.22
-13.87,-3.83,-8.1
-11.8,-4.82,-8.62
-9.76,-4.76,-8.45
-7.74,-4.99,-7.77
-6.06,-4.69,-6.49
-5.14,-4.56,-4.7
-4.61,-3.61,-3.5
-4.42,-2.2,-2.26
-4.85,-0.54,-1.82
-5.14,0.17,-1.36
-5.71,0.97,-1.43
-6.27,1.48,-0.72
-6.65,2.0,-0.6
-7.22,2.23,-0.59
-8.0,2.77,-0.71
-9.49,3.57,-0.61
-10.75,4.0,-0.08
-12.05,4.22,-0.66
-13.12,4.11,-1.71
-14.36,3.48,-3.0
-15.55,2.6,-3.81
-16.65,1.22,-4.35
-17.48,-0.82,-4.79
-17.5,-3.51,-4.81
-16.18,-5.42,-5.56
-14.36,-6.91,-6.68
-12.3,-7.14,-7.31
-10.79,-6.43,-8.08
-10.11,-4.76,-8.67
-10.53,-2.95,-8.52
-11.52,-1.42,-8.54
-12.17,-0.6,-8.13
-12.68,0.19,-7.53
-13.1,0.45,-7.16
-13.2,0.8,-7.09
-13.35,0.66,-6.82
-13.73,0.73,-6.8
-14.04,0.15,-6.93
-14.78,-1.31,-6.94
-15.18,-3.05,-6.6
-15.17,-3.77,-6.7
-15.01,-5.01,-6.61
-14.27,-6.61,-6.27
-12.63,-7.7,-6.22
-10.83,-7.59,-6.76
-9.59,-6.95,-7.31
-8.46,-6.07,-7.4
-7.34,-5.1,-7.61
-6.52,-4.32,-6.93
-6.13,-3.18,-6.57
-5.9,-1.49,-6.25
-6.36,-0.56,-5.95
-6.74,0.23,-5.88
-7.55,0.45,-6.43
-8.6,1.35,-6.33
-10.03,2.13,-6.09
-10.68,2.54,-5.75
-10.09,2.97,-4.69
-10.45,3.18,-4.04
-10.81,3.7,-3.43
-11.56,4.02,-2.35
-12.78,4.22,-1.52
-14.17,3.98,-1.08
-15.62,3.12,-0.59
-17.07,1.87,0.03
-17.95,-0.11,0.02
-18.18,-2.43,-0.29
-17.86,-4.76,-1.03
-16.75,-6.63,-2.27
-15.47,-7.64,-3.66
-13.91,-8.45,-4.88
-12.68,-8.46,-5.47
-11.84,-7.79,-6.85
-11.29,-7.01,-7.66
-11.16,-5.7,-8.31
-11.5,-4.07,-8.71
-12.38,-2.26,-8.51
-13.37,-0.88,-7.77
-14.02,-0.3,-7.05
-14.97,0.02,-6.32
-15.93,0.02,-5.25
-17.06,-1.12,-4.92
-17.25,-3.33,-4.07
-16.27,-5.53,-4.16
-14.19,-7.4,-4.79
-12.53,-8.05,-5.65
-11.02,-8.13,-6.41
-9.69,-7.62,-6.82
-8.37,-6.84,-7.2
-7.34,-5.83,-7.04
-6.34,-4.99,-6.89
-5.81,-4.11,-6.05
-5.35,-3.23,-5.42
-5.05,-2.09,-4.56
-5.18,-0.67,-4.25
-5.85,0.36,-4.04
-6.46,1.16,-4.21
-7.32,1.94,-3.93
-8.23,2.62,-4.18
-9.3,2.94,-4.09
-9.99,3.03,-4.46
-10.3,3.22,-4.03
-10.89,3.59,-3.34
-12.01,4.09,-2.67
-13.43,3.93,-2.07
-14.97,3.5,-1.42
-16.33,2.69,-0.76
-17.29,1.18,0.08
-17.97,-0.43,0.59
-18.07,-2.43,0.96
-17.95,-3.98,0.31
-17.38,-5.62,-0.51
-16.6,-7.03,-2.31
-15.55,-7.34,-4.12
-14.75,-7.27,-5.81
-13.85,-6.82,-6.96
-13.47,-5.46,-7.9
-14.08,-3.42,-8.12
-14.67,-1.31,-7.31
-15.17,-0.41,-6.72
-15.41,0.36,-5.91
-15.83,0.66,-4.85
-16.65,0.32,-4.27
-17.71,-1.01,-3.77
-17.21,-4.09,-3.87
-15.74,-5.75,-4.36
-14.75,-6.54,-4.66
-13.79,-7.4,-4.88
-12.7,-7.94,-5.26
-11.48,-8.03,-5.91
-10.2,-7.66,-6.53
-8.92,-7.23,-6.7
-7.93,-6.33,-7.1
-7.22,-5.47,-7.08
-6.73,-4.69,-6.65
-6.11,-3.83,-6.67
-5.87,-2.88,-6.27
-5.62,-1.87,-5.9
-5.66,-1.08,-5.3
-5.92,-0.28,-5.11
-6.42,0.69,-4.8
-6.92,1.46,-4.54
-7.76,2.15,-4.58
-8.62,2.94,-4.11
-9.61,3.2,-3.87
-10.05,3.14,-3.84
-10.54,3.31,-3.8
-11.02,3.48,-3.89
-11.58,3.66,-3.72
-11.92,3.65,-3.26
-12.64,3.81,-3.26
-13.49,3.85,-3.38
-14.25,3.61,-3.2
-15.18,3.18,-3.13
-16.1,2.51,-2.56
-16.92,1.91,-1.73
-17.76,1.03,-0.94
-17.99,-0.28,-0.09
-18.22,-1.81,0.39
-18.18,-3.49,0.14
-17.84,-4.9,-0.83
-17.21,-6.35,-2.14
-16.22,-7.18,-3.21
-15.18,-7.81,-4.47
-13.91,-8.02,-5.82
-13.16,-7.53,-6.81
-12.45,-6.13,-7.91
-12.64,-3.68,-8.76
-13.83,-0.65,-7.69
-14.92,0.94,-5.95
-15.81,1.2,-4.68
-17.53,-0.35,-4.11
-16.71,-4.52,-5.11
-14.52,-5.44,-5.82
-13.94,-6.05,-6.26
-12.72,-6.8,-7.02
-10.85,-7.19,-7.35
-8.81,-6.37,-7.62
-7.51,-5.32,-7.21
-6.94,-4.0,-7.42
-6.44,-3.18,-6.95
-5.96,-2.15,-6.12
-5.85,-1.18,-5.35
-5.58,-0.37,-4.36
-6.15,0.97,-4.22
-6.88,1.93,-3.52
-8.52,2.99,-3.25
-10.49,3.65,-3.23
-11.27,3.51,-3.3
-11.59,3.5,-3.48
-11.86,3.55,-3.51
-12.26,3.63,-3.45
-12.55,3.94,-3.4
-13.14,4.13,-3.7
-14.0,3.83,-3.65
-14.69,3.48,-3.67
-15.53,2.8,-3.73
-16.12,2.08,-3.57
-17.23,1.4,-2.93
-17.99,0.04,-2.24
-18.34,-1.33,-1.82
-18.55,-2.63,-0.94
-18.22,-4.22,-1.03
-17.32,-5.96,-1.73
-16.27,-7.46,-2.6
-14.96,-8.17,-3.7
-13.87,-8.56,-4.75
-13.22,-8.32,-5.67
-12.68,-7.77,-6.53
-11.88,-7.08,-7.42
-11.14,-6.11,-8.29
-11.27,-5.12,-8.53
-12.13,-3.74,-8.61
-13.31,-2.69,-8.31
-14.02,-2.41,-7.68
-14.23,-1.81,-7.41
-14.55,-1.59,-7.46
-14.76,-1.4,-7.15
-14.92,-1.42,-7.35
-15.26,-1.1,-6.97
-15.76,-0.99,-6.69
-16.58,-1.34,-6.29
-17.0,-3.89,-5.25
-15.03,-5.92,-5.15
-14.8,-5.92,-5.25
-14.54,-7.03,-5.04
-13.24,-7.66,-5.66
-11.65,-7.77,-6.43
-10.35,-7.34,-7.29
-9.32,-6.52,-7.53
-8.41,-5.53,-7.65
-7.62,-4.65,-7.5
-7.13,-3.68,-7.26
-6.52,-2.62,-6.83
-6.23,-1.49,-6.49
-6.27,-0.5,-5.74
-6.5,0.39,-5.19
-7.03,1.44,-4.89
-7.39,1.81,-4.72
-7.78,2.23,-4.5
-8.52,2.64,-4.34
-9.67,3.07,-4.03
-10.91,3.2,-4.24
-12.38,3.33,-4.25
-13.01,3.25,-4.34
-13.58,3.14,-4.25
-13.96,3.23,-3.93
-14.44,3.4,-3.86
-15.26,3.42,-3.1
-15.81,3.12,-2.37
-16.37,2.56,-1.6
-16.79,2.26,-0.88
-17.38,1.33,-0.46
-17.88,0.17,0.29
-18.14,-1.08,0.29
-18.22,-2.8,-0.03
-17.93,-4.2,0.12
-17.51,-5.53,-0.59
-16.73,-6.5,-2.15
-16.02,-7.25,-3.61
-15.2,-7.46,-4.76
-14.31,-7.55,-6.03
-13.52,-7.31,-6.88
-12.8,-6.61,-7.53
-12.0,-5.47,-8.43
-12.05,-3.44,-8.81
-12.8,-1.49,-8.12
